feature,importance
Age,0.38713878178402594
NumOfProducts,0.2901575612873916
EngagementProductInteraction,0.07816366401187304
Balance,0.06233163467603098
Geography_Germany,0.05375400689275963
IsActiveMember,0.04306898845315499
BalanceToSalaryRatio,0.024448578740257874
CreditScore,0.0175640932287836
EstimatedSalary,0.015313117280665044
AgeTenureInteraction,0.008865537573826424
Gender_Male,0.007863922752003226
Gender_Female,0.005745068323180001
ProductDensity,0.002811485182639012
Geography_France,0.0015465074505221933
HasCrCard,0.0009406349919426454
Tenure,0.00017916662770757843
Geography_Spain,0.00010725074323615676
